PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
02116272,ALLELUIA COMMUNITY SCHOOL,3,17,2819 PEACH ORCHARD RD,AUGUSTA,13245,245,GA,13,30906,7067939663,166,7,Yes,,,11,13,11,4,8,6,11,11,10,15,14,15,14,143,143,0,3,10,4,126,0,0,17.8,12,1,1,3,2,1,0,2.1,6.99,2.8,88.11,0,0,8.03,8,RICHMOND,This school does not belong to ANY associations or organizations,,,,,,,
A1390133,ALPHA & OMEGA CHILD CARE & LEARNING CENTER,2,3,4906 PINELAND DR,GARDEN CITY,13051,051,GA,13,31405,9122327505,180,6.5,Yes,,12,4,,,,,,,,,,,,,16,4,0,0,0,4,0,0,0,2,41,1,7,1,2,4,0,0,0,100,0,0,0,2,8,CHATHAM,This school does not belong to ANY associations or organizations,,,,,,,
A0509221,ALPHARETTA CHRISTIAN ACADEMY,2,11,44 ACADEMY ST,ALPHARETTA,13121,121,GA,13,30009,7704755762,180,6.83,Yes,,202,39,17,17,22,15,2,3,,,,,,,317,115,2,1,0,9,95,0,8,9.5,13,1,1,1,2,1,1.74,0.87,0,7.83,82.61,0,6.96,12.11,5,FULTON,Association of Christian Schools International (ACSI),Southern Baptist Association of Christian Schools (SBACS),,,,,,
A9302978,ALPHARETTA INTERNATIONAL ACADEMY,2,10,4772 WEBB BRIDGE RD,ALPHARETTA,13121,121,GA,13,30005,7704750558,180,6.75,Yes,,67,21,19,10,10,5,10,,,,,,,,142,75,0,7,7,4,38,0,19,11,13,1,2,1,3,1,0,9.33,9.33,5.33,50.67,0,25.33,6.82,30,FULTON,Other Montessori association(s),,,,,,,
A1592048,ANCHOR CHRISTIAN ACADEMY,2,11,6613 HICKORY FLAT HWY,CANTON,13057,057,GA,13,30115,7704060326,180,6.5,Yes,,14,14,10,12,8,12,6,4,,,,,,,80,66,0,1,5,5,55,0,0,15.8,41,1,3,1,2,4,0,1.52,7.58,7.58,83.33,0,0,4.18,8,CHEROKEE,Association of Christian Schools International (ACSI),,,,,,,
A1300988,ANNUNCIATION DAY SCHOOL,2,9,2500 CLAIRMONT RD NE,ATLANTA,13089,089,GA,13,30329,4045652850,180,7,Yes,,51,7,3,5,1,4,,,,,,,,,71,,0,1,0,1,11,0,7,11,21,1,1,1,2,2,,,,,,,,,16,DEKALB,State or regional independent school association,Other school association(s),,,,,,
A9501502,ANOINTED WORD CHRISTIAN SCHOOLS INTERNATIONAL,2,17,3800 LINECREST RD,ELLENWOOD,13089,089,GA,13,30294,4042418200,180,8,Yes,,5,2,3,3,3,2,5,6,2,1,5,4,6,3,50,45,0,0,1,39,1,4,0,6.5,21,1,1,3,2,2,0,0,2.22,86.67,2.22,8.89,0,6.92,8,DEKALB,Other school association(s),,,,,,,
00296299,AQUINAS HIGH SCHOOL,14,17,1920 HIGHLAND AVE,AUGUSTA,13245,245,GA,13,30904,7067365516,185,6.67,Yes,,,,,,,,,,,,67,65,59,56,247,247,0,19,10,20,198,0,0,22.4,12,1,1,2,1,1,0,7.69,4.05,8.1,80.16,0,0,11.03,1,RICHMOND,This school does not belong to ANY associations or organizations,,,,,,,
A0307385,ARETE PREPATORY SCHOOL,2,8,3072 EVANS MILL RD,LITHONIA,13089,089,GA,13,30038,7704826118,180,7,Yes,,8,13,6,3,1,,,,,,,,,,31,23,0,0,0,23,0,0,0,2,21,1,1,1,3,2,0,0,0,100,0,0,0,11.5,30,DEKALB,This school does not belong to ANY associations or organizations,,,,,,,
02021437,ATHENS MONTESSORI SCHOOL,2,13,3145 BARNETT SHOALS RD,ATHENS,13059,059,GA,13,30605,7065498490,180,6.5,Yes,,59,40,29,30,28,16,17,19,8,9,,,,,255,196,0,13,5,6,154,0,18,22.8,12,1,2,1,2,1,0,6.63,2.55,3.06,78.57,0,9.18,8.6,14,CLARKE,Other Montessori association(s),,,,,,,
